;1st;2nd;3rd;4th;5th;6th;7th;8th;9th;10th;Variance
phi3, NoContext, No Verifier Model;49,59;52,0;52,0;52,0;52,0;53,79;55,26;58,2;58,2;58,2;18,57
phi3, Context, No Verifier Model;0,0;51,04;51,04;51,04;51,04;51,04;51,04;51,04;51,04;51,04;15,2
